meta_user,line_number,pid,component,timestamp,_format,severity,masked_log,process,raw_log,message,hostname,event
USER_002,14,PID_013,pam_unix,Jun 15 04:06:18,bsd_syslog,,"Jun 15 04:06:18 HOST_001 su(pam_unix)[PID_013]: session opened for user USER_002 by (uid=0)
",su,"Jun 15 04:06:18 combo su(pam_unix)[21416]: session opened for user cyrus by (uid=0)
",session opened for user USER_002 by (uid=0),HOST_001,session_opened
USER_003,17,PID_014,pam_unix,Jun 15 04:12:42,bsd_syslog,,"Jun 15 04:12:42 HOST_001 su(pam_unix)[PID_014]: session opened for user USER_003 by (uid=0)
",su,"Jun 15 04:12:42 combo su(pam_unix)[22644]: session opened for user news by (uid=0)
",session opened for user USER_003 by (uid=0),HOST_001,session_opened
USER_002,73,PID_042,pam_unix,Jun 16 04:10:22,bsd_syslog,,"Jun 16 04:10:22 HOST_001 su(pam_unix)[PID_042]: session opened for user USER_002 by (uid=0)
",su,"Jun 16 04:10:22 combo su(pam_unix)[25178]: session opened for user cyrus by (uid=0)
",session opened for user USER_002 by (uid=0),HOST_001,session_opened
USER_003,76,PID_043,pam_unix,Jun 16 04:16:17,bsd_syslog,,"Jun 16 04:16:17 HOST_001 su(pam_unix)[PID_043]: session opened for user USER_003 by (uid=0)
",su,"Jun 16 04:16:17 combo su(pam_unix)[25548]: session opened for user news by (uid=0)
",session opened for user USER_003 by (uid=0),HOST_001,session_opened
USER_002,78,PID_044,pam_unix,Jun 17 04:03:33,bsd_syslog,,"Jun 17 04:03:33 HOST_001 su(pam_unix)[PID_044]: session opened for user USER_002 by (uid=0)
",su,"Jun 17 04:03:33 combo su(pam_unix)[27953]: session opened for user cyrus by (uid=0)
",session opened for user USER_002 by (uid=0),HOST_001,session_opened
USER_003,81,PID_045,pam_unix,Jun 17 04:09:43,bsd_syslog,,"Jun 17 04:09:43 HOST_001 su(pam_unix)[PID_045]: session opened for user USER_003 by (uid=0)
",su,"Jun 17 04:09:43 combo su(pam_unix)[29190]: session opened for user news by (uid=0)
",session opened for user USER_003 by (uid=0),HOST_001,session_opened
USER_005,92,PID_055,pam_unix,Jun 17 20:29:26,bsd_syslog,,"Jun 17 20:29:26 HOST_001 sshd(pam_unix)[PID_055]: session opened for user USER_005 by (uid=509)
",sshd,"Jun 17 20:29:26 combo sshd(pam_unix)[30631]: session opened for user test by (uid=509)
",session opened for user USER_005 by (uid=509),HOST_001,session_opened
USER_002,137,PID_088,pam_unix,Jun 18 04:07:05,bsd_syslog,,"Jun 18 04:07:05 HOST_001 su(pam_unix)[PID_088]: session opened for user USER_002 by (uid=0)
",su,"Jun 18 04:07:05 combo su(pam_unix)[31791]: session opened for user cyrus by (uid=0)
",session opened for user USER_002 by (uid=0),HOST_001,session_opened
USER_003,140,PID_089,pam_unix,Jun 18 04:12:42,bsd_syslog,,"Jun 18 04:12:42 HOST_001 su(pam_unix)[PID_089]: session opened for user USER_003 by (uid=0)
",su,"Jun 18 04:12:42 combo su(pam_unix)[32164]: session opened for user news by (uid=0)
",session opened for user USER_003 by (uid=0),HOST_001,session_opened
USER_002,142,PID_090,pam_unix,Jun 19 04:08:55,bsd_syslog,,"Jun 19 04:08:55 HOST_001 su(pam_unix)[PID_090]: session opened for user USER_002 by (uid=0)
",su,"Jun 19 04:08:55 combo su(pam_unix)[2192]: session opened for user cyrus by (uid=0)
",session opened for user USER_002 by (uid=0),HOST_001,session_opened
USER_003,148,PID_091,pam_unix,Jun 19 04:15:18,bsd_syslog,,"Jun 19 04:15:18 HOST_001 su(pam_unix)[PID_091]: session opened for user USER_003 by (uid=0)
",su,"Jun 19 04:15:18 combo su(pam_unix)[3676]: session opened for user news by (uid=0)
",session opened for user USER_003 by (uid=0),HOST_001,session_opened
USER_002,162,PID_104,pam_unix,Jun 20 04:02:54,bsd_syslog,,"Jun 20 04:02:54 HOST_001 su(pam_unix)[PID_104]: session opened for user USER_002 by (uid=0)
",su,"Jun 20 04:02:54 combo su(pam_unix)[9187]: session opened for user cyrus by (uid=0)
",session opened for user USER_002 by (uid=0),HOST_001,session_opened
USER_003,165,PID_105,pam_unix,Jun 20 04:08:37,bsd_syslog,,"Jun 20 04:08:37 HOST_001 su(pam_unix)[PID_105]: session opened for user USER_003 by (uid=0)
",su,"Jun 20 04:08:37 combo su(pam_unix)[9558]: session opened for user news by (uid=0)
",session opened for user USER_003 by (uid=0),HOST_001,session_opened
USER_002,188,PID_117,pam_unix,Jun 21 04:06:57,bsd_syslog,,"Jun 21 04:06:57 HOST_001 su(pam_unix)[PID_117]: session opened for user USER_002 by (uid=0)
",su,"Jun 21 04:06:57 combo su(pam_unix)[12098]: session opened for user cyrus by (uid=0)
",session opened for user USER_002 by (uid=0),HOST_001,session_opened
